商品コード,商品名,ラインコード,盛付ライン,合計数,生産数,自動数,残数,生産性セットmin,開始時刻,終了時刻,終了見込時刻,生産時間_min単位,準備セット数min,予定通過時刻,準備セット数,生産開始日,予定開始時刻,予定終了時刻,生産終了日,打刻記録,休憩min,休憩反映,中断時刻,再開時刻,作業開始前min,休憩２min,休憩２反映,休憩3min,休憩３反映,休憩4min,休憩４反映,休憩5min,休憩５反映,休憩６min,休憩６反映,休憩７min,休憩７反映,生産進捗率,Aライン表示,Bライン表示,Cライン表示,Dライン表示,Eライン表示,Fライン表示,更新回避,カウント数,クリックして追加,クール
1,TV結2,2,Bライン,1970,0,0,1970,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/27,9:30:00,17:00:00,2025/12/27,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第1クール
2,まつおか-3.3,2,Bライン,461,0,0,461,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/27,20:30:00,0:00:00,2025/12/28,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第2クール
3,富士,2,Bライン,220,0,0,220,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,1:30:00,3:00:00,2025/12/28,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第2クール
4,大和路,2,Bライン,522,0,0,522,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,4:30:00,7:00:00,2025/12/28,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第2クール
5,香久山,2,Bライン,314,0,0,314,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/29,9:30:00,12:00:00,2025/12/29,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第5クール
6,誉2,2,Bライン,1800,0,0,1800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,11:30:00,20:00:00,2025/12/28,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第3クール
7,彩春簡易版2,2,Bライン,410,0,0,410,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/28,22:30:00,0:00:00,2025/12/29,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第4クール
8,彩春2,2,Bライン,1206,0,0,1206,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/29,0:00:00,7:00:00,2025/12/29,NULL,60,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第4クール
9,国産プレミアム,2,Bライン,95,0,0,95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/29,13:00:00,14:00:00,2025/12/29,NULL,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第5クール
10,恵比寿,2,Bライン,4358,0,0,4358,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2025/12/29,15:30:00,14:00:00,2025/12/30,NULL,300,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,第5クール
