梱包ID,ライン名,クール,商品名,合計数,カウント単位,梱包数,残数,作成時刻,更新時刻
1,G,第1クール,結_TV_店渡_関西分,0,208,,,,
2,G,第1クール,結_TV_店渡_関東分,0,208,,,,
3,G,第1クール,結_TV_店渡_フジ分,0,208,,,,
4,G,第1クール,結_TV_宅配_未スキャン,0,216,,,,
5,G,第1クール,結_TV_宅配残_その他,0,216,,,,
6,G,第1クール,結_TV_予備・検体_緊急配備,0,216,,,,
7,G,第1クール,結_TV_総数出荷_その他,11800,216,,,,
8,G,第2クール,まつおか-3.3_まつおか_総数出荷_その他,461,60,,,,
9,H,第2クール,まつおか-13.5_まつおか_総数出荷_その他,2204,72,,,,
10,I,第2クール,佳宝（万代）_万代_店渡_,1022,100,,,,
11,I,第2クール,佳宝（万代）_スター_総数出荷_スター,1,100,,,,
12,I,第2クール,佳宝_よどがわ生協_自社便_よどがわ生協,31,100,,,,
13,I,第2クール,佳宝_駿河屋_自社便_駿河屋,30,100,,,,
14,I,第2クール,佳宝_自社_宅配_,88,66,,,,
15,I,第2クール,佳宝_自社_東海_フルックス東海,3,66,,,,
16,I,第2クール,佳宝_自社_本店渡_,62,66,,,,
17,I,第2クール,佳宝_自社_工場保管_,12,66,,,,
18,G,第2クール,富士（万代）_万代_宅配_,23,60,,,,
19,G,第2クール,富士（万代）_スター_総数出荷_スター,3,40,,,,
20,G,第2クール,富士（万代）_万代_店渡_,101,40,,,,
21,G,第2クール,富士_フレスコ_店渡_フレスコ,9,60,,,,
22,G,第2クール,富士_よどがわ生協_自社便_よどがわ生協,4,60,,,,
23,G,第2クール,富士_自社_宅配（12/29出)_,2,60,,,,
24,G,第2クール,富士_自社_宅配_,54,60,,,,
25,G,第2クール,富士_自社_本店渡_,14,60,,,,
26,G,第2クール,富士_自社_市場便_,2,60,,,,
27,G,第2クール,富士_自社_工場保管_,7,60,,,,
28,G,第2クール,富士_自社_東海_,1,60,,,,
29,G,第2クール,大和路_フレスコ_店渡_フレスコ,26,60,,,,
30,G,第2クール,大和路_よどがわ生協_自社便_よどがわ生協,7,40,,,,
31,G,第2クール,大和路_さとう_宅配_,0,60,,,,
32,G,第2クール,大和路_さとう_店渡_さとう,9,60,,,,
33,G,第2クール,大和路_駿河屋_自社便_駿河屋,32,40,,,,
34,G,第2クール,大和路_JA愛西_宅配_JA愛西,12,60,,,,
35,G,第2クール,大和路_自社_宅配（12/29出)_,4,60,,,,
36,G,第2クール,大和路_自社_宅配_,234,60,,,,
37,G,第2クール,大和路_自社_本店渡_,155,60,,,,
38,G,第2クール,大和路_自社_市場便_,17,60,,,,
39,G,第2クール,大和路_自社_工場保管_,24,60,,,,
40,G,第2クール,大和路_自社_東海_フルックス東海,2,60,,,,
41,H,第3クール,誉_ヤオコー_エリア外宅配_,5,72,,,,
42,H,第3クール,誉_ヤオコー_宅配_,1800,72,,,,
43,H,第3クール,誉_ヤオコー_店渡_,7012,80,,,,
44,G,第4クール,彩春簡易_ヤオコー_宅配_,5,120,,,,
45,G,第4クール,彩春簡易_ヤオコー_店渡_,605,192,,,,
46,G,第4クール,彩春_ヤオコー_宅配_,5,120,,,,
47,G,第4クール,彩春_ヤオコー_店渡_,1803,192,,,,
48,G,第5クール,香久山_フレスコ_店渡_フレスコ,15,77,,,,
49,G,第5クール,香久山_さとう_宅配_,0,77,,,,
50,G,第5クール,香久山_さとう_店渡_さとう,23,77,,,,
51,G,第5クール,香久山_駿河屋_自社便_駿河屋,70,40,,,,
52,G,第5クール,香久山_自社_宅配_,107,77,,,,
53,G,第5クール,香久山_自社_本店渡_,84,77,,,,
54,G,第5クール,香久山_自社_市場便（12/30出）_,1,77,,,,
55,G,第5クール,香久山_自社_工場保管(12/30出）_,1,77,,,,
56,G,第5クール,香久山_自社_工場保管_,13,77,,,,
57,G,第5クール,国産プレミアム_サミット_店渡_,22,80,,,,
58,G,第5クール,国産プレミアム_万代_店渡_,36,40,,,,
59,G,第5クール,国産プレミアム_自社_宅配_,20,60,,,,
60,G,第5クール,国産プレミアム_自社_本店渡_,3,60,,,,
61,G,第5クール,国産プレミアム_自社_工場保管(12/30出）_,8,60,,,,
62,G,第5クール,国産プレミアム_自社_工場保管_,6,60,,,,
63,G,第5クール,国産プレミアム_サミット_宅配_,0,60,,,,
64,G,第5クール,恵比寿_スター_総数出荷_スター,13,50,,,,
65,G,第5クール,恵比寿_万代_店渡_,3815,50,,,,
66,G,第5クール,恵比寿_万代_宅配_,530,60,,,,
